service,genre,total_num_titles,avg_user_rating,avg_critic_score,adfree_price,user_rating_per_dollar
Hulu,Crime & Mystery,73,7.86,77.18,18.99,0.41
Disney+,Action & Adventure,109,7.86,80.71,18.99,0.41
Peacock,Anime,4,7.03,,16.99,0.41
Disney+,Nature,2,7.85,,18.99,0.41
Hulu,Sci-Fi & Fantasy,79,7.85,82.86,18.99,0.41
Disney+,Animation,48,7.84,85.22,18.99,0.41
Disney+,Supernatural,7,7.84,77.33,18.99,0.41
Hulu,Action & Adventure,87,7.83,82.27,18.99,0.41
Disney+,Drama,103,7.82,76.52,18.99,0.41
Disney+,Sci-Fi & Fantasy,105,7.82,81.24,18.99,0.41
Hulu,Animation,25,7.80,83.82,18.99,0.41
Hulu,Comedy,99,7.79,80.09,18.99,0.41
Max,Action & Adventure,114,7.56,74.79,18.49,0.41
Disney+,Horror,9,7.76,81.88,18.99,0.41
Disney+,Comedy,105,7.75,80.32,18.99,0.41
Max,Comedy,70,7.54,77.39,18.49,0.41
Max,Sci-Fi & Fantasy,92,7.53,75.58,18.49,0.41
Peacock,Horror,15,6.92,68.85,16.99,0.41
Netflix,War & Politics,8,8.14,84.50,19.99,0.41
Peacock,Game Show,9,6.90,63.50,16.99,0.41
Hulu,Nature,3,7.70,63.00,18.99,0.41
Hulu,Drama,124,7.66,76.11,18.99,0.40
Max,Supernatural,4,7.45,70.67,18.49,0.40
Max,Romance,19,7.43,75.35,18.49,0.40
Netflix,History,12,8.03,81.67,19.99,0.40
Max,Anime,2,7.40,87.00,18.49,0.40
Netflix,Food,1,8.00,,19.99,0.40
Max,Thriller,35,7.37,75.44,18.49,0.40
Disney+,Food,3,7.53,88.00,18.99,0.40
Hulu,Documentary,7,7.53,,18.99,0.40
Disney+,Romance,18,7.52,71.75,18.99,0.40
Netflix,Anime,47,7.90,88.57,19.99,0.40
Disney+,Documentary,6,7.50,,18.99,0.39
Peacock,Talk,10,6.71,65.00,16.99,0.39
Hulu,Thriller,22,7.48,72.06,18.99,0.39
Peacock,Music,8,6.69,65.60,16.99,0.39
Disney+,Thriller,22,7.47,71.11,18.99,0.39
Disney+,Family,51,7.44,82.03,18.99,0.39
Max,Talk,3,7.23,65.50,18.49,0.39
Netflix,Supernatural,8,7.79,79.33,19.99,0.39
Netflix,Sports,6,7.78,88.00,19.99,0.39
Hulu,Romance,27,7.39,73.84,18.99,0.39
Netflix,Horror,15,7.72,80.00,19.99,0.39
Hulu,Food,5,7.32,72.33,18.99,0.39
Max,Family,23,7.07,77.31,18.49,0.38
Netflix,Sci-Fi & Fantasy,96,7.62,79.39,19.99,0.38
Netflix,Action & Adventure,106,7.62,78.67,19.99,0.38
Netflix,Crime & Mystery,78,7.61,76.38,19.99,0.38
Netflix,Comedy,87,7.57,78.06,19.99,0.38
Netflix,Music,2,7.55,86.00,19.99,0.38
Netflix,Drama,162,7.55,76.75,19.99,0.38
Peacock,Reality,26,6.41,62.10,16.99,0.38
Netflix,Animation,29,7.54,82.25,19.99,0.38
Max,Travel,2,6.95,,18.49,0.38
Max,Horror,32,6.93,70.17,18.49,0.37
Netflix,Thriller,43,7.48,75.54,19.99,0.37
Disney+,Travel,1,7.10,,18.99,0.37
Hulu,Travel,1,7.10,,18.99,0.37
Max,Soap,2,6.85,,18.49,0.37
Hulu,Family,29,6.99,79.25,18.99,0.37
Disney+,Soap,3,6.97,70.00,18.99,0.37
Netflix,Talk,2,7.30,,19.99,0.37
Netflix,Romance,28,7.28,74.59,19.99,0.36
Max,Reality,19,6.71,69.00,18.49,0.36
Max,Food,6,6.70,,18.49,0.36
Netflix,Western,1,7.20,,19.99,0.36
Netflix,Family,27,7.19,71.54,19.99,0.36
Hulu,Game Show,12,6.81,67.00,18.99,0.36
Max,Game Show,5,6.48,,18.49,0.35
Hulu,Reality,23,6.60,62.27,18.99,0.35
Disney+,Game Show,8,6.59,66.40,18.99,0.35
Netflix,Documentary,1,6.90,,19.99,0.35
Netflix,Soap,2,6.80,70.00,19.99,0.34
Disney+,Reality,18,6.43,61.00,18.99,0.34
Hulu,Soap,7,6.03,70.00,18.99,0.32
Disney+,Music,5,6.02,58.67,18.99,0.32
Netflix,Reality,6,6.25,65.00,19.99,0.31
Hulu,Music,4,5.60,56.25,18.99,0.29
Disney+,News,2,5.55,,18.99,0.29
Hulu,News,2,5.55,,18.99,0.29
Disney+,Talk,4,4.83,43.00,18.99,0.25
Hulu,Talk,5,4.80,43.00,18.99,0.25
Netflix,Game Show,1,5.00,45.00,19.99,0.25
Apple TV+,News,1,2.80,,12.99,0.22
