service,genre,total_num_titles,avg_user_rating,avg_critic_score
Apple TV+,Crime & Mystery,58,6.89,66.67
Max,Soap,2,6.85,
Paramount+,Family,45,6.84,73.84
Paramount+,Romance,16,6.83,67.09
Hulu,Game Show,12,6.81,67.00
Netflix,Soap,2,6.80,70.00
Apple TV+,Thriller,40,6.76,62.80
Apple TV+,Supernatural,3,6.73,51.67
Max,Reality,19,6.71,69.00
Peacock,Talk,10,6.71,65.00
Max,Food,6,6.70,
Peacock,Music,8,6.69,65.60
Hulu,Reality,23,6.60,62.27
Disney+,Game Show,8,6.59,66.40
Max,Game Show,5,6.48,
Paramount+,Reality,20,6.46,63.33
Paramount+,Game Show,11,6.45,64.83
Disney+,Reality,18,6.43,61.00
Peacock,Reality,26,6.41,62.10
Netflix,Reality,6,6.25,65.00
Prime Video,Soap,8,6.04,
Hulu,Soap,7,6.03,70.00
Disney+,Music,5,6.02,58.67
Paramount+,Soap,5,6.00,60.00
Apple TV+,Reality,16,5.99,55.14
Apple TV+,Game Show,1,5.90,
Prime Video,Travel,1,5.80,
Apple TV+,Talk,6,5.65,64.00
Hulu,Music,4,5.60,56.25
Hulu,News,2,5.55,
Disney+,News,2,5.55,
Netflix,Game Show,1,5.00,45.00
Disney+,Talk,4,4.83,43.00
Hulu,Talk,5,4.80,43.00
Apple TV+,News,1,2.80,
